,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
13,006400,KR7006400006,삼성SDI,KOSPI,,394000,2,-500,-0.13,394000,394500,386000,101423,39469832500,27093224820000,68764530,STK
14,035720,KR7035720002,카카오,KOSPI,,59300,1,1100,1.89,57900,60000,57800,1093509,64814985300,26388445859100,444999087,STK
15,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,245500,1,1500,0.61,240000,247500,235000,400991,96509241500,24010229952000,97801344,KSQ
16,003670,KR7003670007,포스코퓨처엠,KOSPI,,297000,1,500,0.17,292000,299000,286000,274473,80031784000,23006576340000,77463220,STK
17,012330,KR7012330007,현대모비스,KOSPI,,244500,1,500,0.2,244000,246000,242000,108045,26362350500,22898670483000,93655094,STK
18,055550,KR7055550008,신한지주,KOSPI,,43800,2,-1250,-2.77,45100,45150,43750,604756,26777644100,22458864829800,512759471,STK
19,086790,KR7086790003,하나금융지주,KOSPI,,57300,2,-1600,-2.72,59500,59500,57200,493672,28915904700,16752033065400,292356598,STK
20,032830,KR7032830002,삼성생명,KOSPI,,83500,2,-1500,-1.76,85000,85700,83000,139032,11725896700,16700000000000,200000000,STK
21,066570,KR7066570003,LG전자,KOSPI,,99000,2,-800,-0.8,100100,100200,98600,103565,10282354100,16201133586000,163647814,STK
22,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,594000,2,-11000,-1.82,593000,599000,574000,331659,193999672000,15816834792000,26627668,KSQ
23,003550,KR7003550001,LG,KOSPI,,99800,2,-3700,-3.57,102900,103300,99000,144191,14557973000,15698639101400,157300993,STK
24,138040,KR7138040001,메리츠금융지주,KOSPI,,76700,2,-1900,-2.42,79100,79200,76700,128349,9982023500,15598641143800,203372114,STK
25,034730,KR7034730002,SK,KOSPI,,201000,2,-6500,-3.13,208000,208500,200500,64127,13017396000,14712864129000,73198329,STK
26,015760,KR7015760002,한국전력,KOSPI,,22800,2,-400,-1.72,23300,23950,22700,2777894,64757241350,14636780955600,641964077,STK
27,000810,KR7000810002,삼성화재,KOSPI,,305000,2,-12500,-3.94,317000,317500,303000,24754,7651540000,14449325285000,47374837,STK
28,323410,KR7323410001,카카오뱅크,KOSPI,,30200,1,200,0.67,30000,30550,29950,331378,10052080800,14401538537400,476872137,STK
29,450080,KR7450080007,에코프로머티,KOSPI,,186000,2,-1600,-0.85,183200,186400,176800,551367,99771861400,12831250548000,68985218,STK
30,096770,KR7096770003,SK이노베이션,KOSPI,,127200,2,-1700,-1.32,128900,129600,126100,117890,15020094900,12803387740800,100655564,STK
31,011200,KR7011200003,HMM,KOSPI,,18520,2,-160,-0.86,18700,18710,18230,527951,9705736700,12761011465920,689039496,STK
32,018260,KR7018260000,삼성에스디에스,KOSPI,,161500,2,-1600,-0.98,163100,164800,161100,34240,5580846300,12496514700000,77377800,STK
33,033780,KR7033780008,KT&G,KOSPI,,91200,1,100,0.11,90900,91700,90800,36307,3318240400,12204611726400,133822497,STK
34,017670,KR7017670001,SK텔레콤,KOSPI,,53300,1,400,0.76,53100,53500,52900,168102,8947261500,11663806575200,218833144,STK
35,259960,KR7259960003,크래프톤,KOSPI,,233500,2,-1500,-0.64,235000,238000,233000,12052,2829415000,11293109115500,48364493,STK
36,316140,KR7316140003,우리금융지주,KOSPI,,14860,2,-200,-1.33,15070,15180,14850,899370,13507367200,11173968990460,751949461,STK
37,024110,KR7024110009,기업은행,KOSPI,,13950,2,-70,-0.5,14140,14160,13930,541493,7605169520,11124090872550,797425869,STK
38,030200,KR7030200000,KT,KOSPI,,41500,2,-700,-1.66,42200,42200,41100,346080,14396723050,10701221540000,257860760,STK
39,047050,KR7047050000,포스코인터내셔널,KOSPI,,59200,1,1200,2.07,58000,59300,57500,293274,17149955400,10414629049600,175922788,STK
40,028300,KR7028300002,HLB,KOSDAQ,중견기업부,78800,3,0,0.0,79300,83000,77500,2869338,231319070900,10298335436800,130689536,KSQ
41,009150,KR7009150004,삼성전기,KOSPI,,137000,2,-100,-0.07,137200,137700,136500,54547,7485765100,10233036352000,74693696,STK
42,034020,KR7034020008,두산에너빌리티,KOSPI,,15530,2,-100,-0.64,15720,15720,15480,516831,8037765360,9947914597380,640561146,STK
43,329180,KR7329180004,HD현대중공업,KOSPI,,110800,2,-100,-0.09,110400,110900,109700,18547,2043074700,9836061252800,88773116,STK
44,010130,KR7010130003,고려아연,KOSPI,,463000,2,-5500,-1.17,467500,468000,463000,5889,2734248000,9680676244000,20908588,STK
45,402340,KR7402340004,SK스퀘어,KOSPI,,68900,2,-700,-1.01,69400,70500,68800,243193,16945031400,9575793380400,138981036,STK
46,022100,KR7022100002,포스코DX,KOSPI,,59000,1,400,0.68,58600,59200,57600,301162,17489323500,8970049011000,152034729,STK
47,003490,KR7003490000,대한항공,KOSPI,,23550,1,150,0.64,23400,23600,23300,263514,6192659000,8671596566550,368220661,STK
48,352820,KR7352820005,하이브,KOSPI,,205000,1,1000,0.49,203500,206000,199900,60992,12352243800,8538679885000,41652097,STK
49,010950,KR7010950004,S-Oil,KOSPI,,75300,1,500,0.67,74700,76000,74400,108609,8161269800,8477484237600,112582792,STK
50,009540,KR7009540006,HD한국조선해양,KOSPI,,118800,2,-700,-0.59,119500,120400,118300,32406,3855278000,8407846180800,70773116,STK
51,012450,KR7012450003,한화에어로스페이스,KOSPI,,155300,1,3400,2.24,152400,160000,151300,702409,110846583300,7862839000000,50630000,STK
52,090430,KR7090430000,아모레퍼시픽,KOSPI,,126100,2,-1400,-1.1,126500,127300,124900,24072,3024074500,7375936909900,58492759,STK
53,042700,KR7042700005,한미반도체,KOSPI,,75400,1,900,1.21,75600,77900,74900,1000677,76321839300,7339383370800,97339302,STK
54,005830,KR7005830005,DB손해보험,KOSPI,,99400,2,-2700,-2.64,102000,102200,99400,16508,1657480000,7037520000000,70800000,STK
55,086280,KR7086280005,현대글로비스,KOSPI,,187100,1,4000,2.18,184000,187100,182500,30243,5608320100,7016250000000,37500000,STK
56,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,55800,2,-400,-0.71,56100,56600,55600,31831,1785388100,6912228850200,123875069,STK
57,326030,KR7326030004,SK바이오팜,KOSPI,,87600,1,1100,1.27,86200,87900,86100,47295,4128487900,6860240700000,78313250,STK
58,042660,KR7042660001,한화오션,KOSPI,,22350,2,-200,-0.89,22700,23000,22200,226022,5087438800,6847121392650,306358899,STK
59,377300,KR7377300009,카카오페이,KOSPI,,49000,1,200,0.41,48800,49300,47100,40980,1995803250,6580409920000,134294080,STK
